Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
130000.0,"White, RV/SUV",7.0,Diesel,Automatic,Tdi Quattro Tip,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/audi/auction-2061648393.htm?rsqid=107e8d86b90447828a22f82611b7eb1c-001,"3 owners, NZ New",4134.0,38000.0, Auckland,Manukau
80000.0,"Gray, 5 door, Hatchback",5.0,Petrol,Automatic,L**Hybrid/ Cruise Control/ Reverse Camera**,"Papakura, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/honda/auction-2057757972.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,,1300.0,7950.0, Auckland,Papakura
148350.0,"Silver, Hatchback",,Diesel,,M Sport,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/bmw/auction-2156638044.htm?rsqid=c2e42849d2484b83ae86f28dd1213895-001,"2 owners, Imported",,8650.0, Auckland,Auckland City
91900.0,"Blue, 4 door, Sedan",5.0,Petrol,Automatic,,"Tauranga, Bay of Plenty, NZ",https://www.trademe.co.nz/motors/used-cars/ford/auction-2147711455.htm?rsqid=e40b2cffff62410a9559c877d7edf43f-001,"2 owners, Imported",,3900.0, Bay of Plenty,Tauranga
129999.0,"Bronze, RV/SUV",7.0,Diesel,Automatic,Ts,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/ford/auction-2061469835.htm?rsqid=107e8d86b90447828a22f82611b7eb1c-001,"3 owners, NZ New",2720.0,19900.0, Auckland,Auckland City
69603.0,"Gold metallic, 4 door, Sedan",6.0,Petrol,Automatic,Sedan DeVille,"Winton, Southland, NZ",https://www.trademe.co.nz/motors/used-cars/cadillac/auction-2053669422.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,,29000.0, Southland,Winton
52190.0,"WHITE, RV/SUV",7.0,Petrol,Automatic,VRX 2.4L,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2049091784.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,2360.0,31990.0, Auckland,Auckland City
14139.0,"WHITE, RV/SUV",5.0,Petrol,Automatic,XLS 2.0P/CVT/SW/5DR,"Taupo, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2054915057.htm?rsqid=1c4f1bb25067426f8c3fc7e3b4c78a9c-001,,1998.0,23990.0, Waikato,Taupo
72000.0,"Grey, 4 door, Sedan",5.0,Hybrid,Automatic,2.0 Earth Dream Hybrid Sedan,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/honda/auction-2052514309.htm?rsqid=b9596fc6f2f04887b3a2b58857bb500c-001,"New, Imported",,21950.0, Auckland,Auckland City
1400.0,"1AB Grey, 4 door, RV/SUV",5.0,Petrol,Automatic,Si4 (177kW) HSE Dynamic,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/land-rover/auction-2147816906.htm?rsqid=e40b2cffff62410a9559c877d7edf43f-001,,1998.0,86990.0, Auckland,Auckland City
65216.0,"SILVER, 4 door, Sedan",5.0,Petrol,Automatic,2000CC/LOW KMS,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2161068441.htm?rsqid=70b510698b6240699ae0ee571b0605c8-001,,2000.0,6974.0, Auckland,Auckland City
179247.0,"Silver, Station Wagon",,Diesel,,,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2148205274.htm?rsqid=dfcacf56cbf54a1da46ab9fd1b25b143-001,"2 owners, Imported",3150.0,3531.0, Canterbury,Christchurch City
6572.0,"Silver, 5 door, Hatchback",5.0,Petrol,Automatic,"1.8L newshape, super low ks, as new","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150992309.htm?rsqid=205c5e3ddf5f473982ed7781738b2188-001,,1800.0,17920.0, Auckland,Manukau
28000.0,"Black, 5 door, Hatchback",5.0,Petrol,Automatic,"1.5 Gs package, super low ks, as new","Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2160133187.htm?rsqid=20b6018c3ea94170aa1e976e3d9cf8da-001,,1500.0,7420.0, Auckland,Auckland City
81530.0,"Silver, 5 door, Hatchback",5.0,Petrol,Automatic,13C,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2057919393.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,,1300.0,5800.0, Auckland,Auckland City
